Date,AAPL,AMZN,GOOGL,MSFT,SPY,TSLA
2020-11-02,105.8025131225586,150.2239990234375,80.65968322753906,193.99913024902344,307.83245849609375,133.50332641601562
2020-11-03,107.42695617675781,152.42050170898438,81.71937561035156,197.93031311035156,313.2676086425781,141.3000030517578
2020-11-04,111.81390380859375,162.05799865722656,86.69456481933594,207.48023986816406,320.268798828125,140.32666015625
2020-11-05,115.78257751464844,166.10000610351562,87.52134704589844,214.09608459472656,326.5150146484375,146.02999877929688
2020-11-06,115.65105438232422,165.56849670410156,87.38380432128906,214.50840759277344,326.4404296875,143.31666564941406
2020-11-09,113.34173583984375,157.18699645996094,87.46772766113281,209.39788818359375,330.5423583984375,140.4199981689453
2020-11-10,113.00069427490234,151.75100708007812,86.29084777832031,202.3217315673828,330.0576171875,136.7866668701172
2020-11-11,116.43055725097656,156.8695068359375,86.76309204101562,207.63363647460938,332.5094909667969,139.0433349609375
2020-11-12,116.15774536132812,155.51400756835938,86.54409790039062,206.5693359375,329.2838439941406,137.25332641601562
2020-11-13,116.20647430419922,156.4405059814453,88.00601196289062,207.5952911376953,333.84259033203125,136.1666717529297
2020-11-16,117.2198257446289,156.55299377441406,88.09391784667969,208.28567504882812,338.009765625,136.02999877929688
2020-11-17,116.3331298828125,156.7830047607422,87.47965240478516,205.62973022460938,336.1919250488281,147.20333862304688
2020-11-18,115.0079574584961,155.2729949951172,86.43583679199219,202.91876220703125,332.1458740234375,162.2133331298828
2020-11-19,115.60232543945312,155.8509979248047,87.32620239257812,204.20689392089844,333.5442199707031,166.42333984375
2020-11-20,114.33561706542969,154.97000122070312,86.22430419921875,202.2554473876953,331.26025390625,163.20333862304688
2020-11-23,110.93497467041016,154.91949462890625,85.78631591796875,201.9862060546875,333.2459411621094,173.9499969482422
2020-11-24,112.22118377685547,155.9029998779297,87.59088134765625,205.5912322998047,338.6157531738281,185.1266632080078
2020-11-25,113.05915832519531,159.2534942626953,87.602294921875,205.60081481933594,338.09368896484375,191.3333282470703
2020-11-27,113.60481262207031,159.76699829101562,88.73895263671875,206.9082794189453,339.03533935546875,195.25332641601562
2020-11-30,116.0018310546875,158.40199279785156,87.11913299560547,205.79310607910156,337.5343322753906,189.1999969482422
2020-12-01,119.57786560058594,161.00399780273438,89.1530990600586,207.85040283203125,341.2260437011719,194.9199981689453
